STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,MARKET_TYPE,Market type,PHARMACEUTICAL,Pharmaceutical,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,OBS_STATUS2,Observation status 2,OBS_STATUS3,Observation status 3,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.0),Pharmaceutical market,I,CHL,Chile,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dosage per 1 000 inhabitants per day,_Z,Not applicable,A10,Drugs used in diabetes,2011,,34,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.0),Pharmaceutical market,I,CHL,Chile,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dosage per 1 000 inhabitants per day,_Z,Not applicable,A10,Drugs used in diabetes,2012,,30.7,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.0),Pharmaceutical market,I,CHL,Chile,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dosage per 1 000 inhabitants per day,_Z,Not applicable,A10,Drugs used in diabetes,2013,,45.8,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.0),Pharmaceutical market,I,CHL,Chile,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dosage per 1 000 inhabitants per day,_Z,Not applicable,A10,Drugs used in diabetes,2014,,52.1,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.0),Pharmaceutical market,I,CHL,Chile,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dosage per 1 000 inhabitants per day,_Z,Not applicable,A10,Drugs used in diabetes,2015,,59.3,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.0),Pharmaceutical market,I,CHL,Chile,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dosage per 1 000 inhabitants per day,_Z,Not applicable,A10,Drugs used in diabetes,2016,,46.4,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.0),Pharmaceutical market,I,CHL,Chile,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dosage per 1 000 inhabitants per day,_Z,Not applicable,A10,Drugs used in diabetes,2017,,39.8,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.0),Pharmaceutical market,I,CHL,Chile,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dosage per 1 000 inhabitants per day,_Z,Not applicable,A10,Drugs used in diabetes,2018,,47.9,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.0),Pharmaceutical market,I,CHL,Chile,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dosage per 1 000 inhabitants per day,_Z,Not applicable,A10,Drugs used in diabetes,2019,,48,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.0),Pharmaceutical market,I,CHL,Chile,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dosage per 1 000 inhabitants per day,_Z,Not applicable,A10,Drugs used in diabetes,2020,,73.7,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.0),Pharmaceutical market,I,CHL,Chile,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dosage per 1 000 inhabitants per day,_Z,Not applicable,A10,Drugs used in diabetes,2021,,77.2,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.0),Pharmaceutical market,I,CHL,Chile,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dosage per 1 000 inhabitants per day,_Z,Not applicable,A10,Drugs used in diabetes,2022,,79.7,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.0),Pharmaceutical market,I,ISR,Israel,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dosage per 1 000 inhabitants per day,_Z,Not applicable,A10,Drugs used in diabetes,2012,,36.8,,D,Definition differs,,,,,0,Units,,
