REF_AREA,Measure,OBS_VALUE,TIME_PERIOD
ISL,Share of population consuming vegetables daily,48.5,2010
ISL,Share of population consuming vegetables daily,46.9,2014
ISL,Share of population consuming vegetables daily,56.3,2015
ISL,Share of population consuming vegetables daily,60.3,2016
ISL,Share of population consuming vegetables daily,62.6,2017
ISL,Share of population consuming vegetables daily,61.2,2018
ISL,Share of population consuming vegetables daily,60.1,2019
ISL,Share of population consuming vegetables daily,58.1,2020
ISL,Share of population consuming vegetables daily,57.9,2021
ISL,Share of population consuming vegetables daily,57.0,2022
TUR,Share of population consuming vegetables daily,67.7,2010
TUR,Share of population consuming vegetables daily,63.6,2012
TUR,Share of population consuming vegetables daily,57.7,2014
TUR,Share of population consuming vegetables daily,59.0,2016
TUR,Share of population consuming vegetables daily,52.0,2019
CZE,Share of population consuming fruits daily,46.8,2014
CZE,Share of population consuming fruits daily,45.4,2019
DEU,Share of population who are daily smokers,20.9,2013
DEU,Share of population who are daily smokers,18.8,2017
DEU,Share of population who are daily smokers,14.6,2021
USA,Share of population who are overweight,42.0,2010
USA,Share of population who are overweight,41.4,2011
USA,Share of population who are overweight,42.4,2012
USA,Share of population who are overweight,41.5,2013
USA,Share of population who are overweight,41.6,2014
USA,Share of population who are overweight,39.7,2015
USA,Share of population who are overweight,41.4,2016
USA,Share of population who are overweight,40.9,2017
USA,Share of population who are overweight,40.8,2018
USA,Share of population who are overweight,39.2,2019
USA,Share of population who are overweight,39.5,2020
USA,Share of population who are overweight,39.7,2021
PRT,Share of population who are obese,15.1,2014
PRT,Share of population who are obese,15.5,2017
PRT,Share of population who are obese,16.4,2019
SVK,Share of population who are overweight or obese,46.2,2014
SVK,Share of population who are overweight or obese,49.3,2019
HUN,Share of population who are overweight,36.6,2014
HUN,Share of population who are overweight,40.1,2019
CZE,Share of population who are overweight or obese,49.0,2010
ISR,Share of population who are overweight or obese,50.9,2015
LVA,Share of population who are overweight or obese,44.8,2010
LVA,Share of population who are overweight or obese,52.1,2012
LVA,Share of population who are overweight or obese,54.0,2014
CRI,Share of population who are obese,25.3,2014
CRI,Share of population who are obese,26.9,2018
PER,Share of population who are obese,12.1,2010
PER,Share of population who are obese,12.5,2011
PER,Share of population who are obese,12.9,2012
PER,Share of population who are obese,13.3,2013
PER,Share of population who are obese,13.8,2014
PER,Share of population who are obese,14.2,2015
PER,Share of population who are obese,14.7,2016
HRV,Share of population who are overweight or obese,46.8,2014
HRV,Share of population who are overweight or obese,57.6,2019
ITA,Share of population who are daily smokers,27.4,2010
ITA,Share of population who are daily smokers,26.5,2011
ITA,Share of population who are daily smokers,25.5,2012
ITA,Share of population who are daily smokers,25.5,2013
ITA,Share of population who are daily smokers,22.2,2014
ITA,Share of population who are daily smokers,22.4,2015
ITA,Share of population who are daily smokers,21.0,2016
ITA,Share of population who are daily smokers,20.9,2017
ITA,Share of population who are daily smokers,23.5,2018
ITA,Share of population who are daily smokers,20.4,2019
ITA,Share of population who are daily smokers,20.8,2020
ITA,Share of population who are daily smokers,19.0,2021
USA,Share of population who are daily smokers,14.1,2010
